리뷰ID,날짜(시간),상품카테고리,상품,채널,별점,리뷰원문
RV0001,2025-09-01 08:13,의류,슬림핏 슬랙스,쿠팡,1,슬림핏 슬랙스 상자가 파손된 채로 도착했어요.
RV0002,2025-09-01 10:30,의류,데일리 후드집업,자사 웹,1,데일리 후드집업 완충재가 거의 없어서 놀랐습니다.
RV0003,2025-09-01 10:36,리빙,접이식 좌식테이블,자사 웹,5,접이식 좌식테이블 이 가격에 이 정도면 가성비 최고예요.
RV0004,2025-09-01 14:51,뷰티,저자극 선크림,아마존,5,저자극 선크림 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0005,2025-09-01 19:19,의류,데일리 후드집업,CS 이메일,5,데일리 후드집업 사이즈가 딱 맞고 핏이 예뻐요.
RV0006,2025-09-02 09:12,뷰티,수분 크림,쿠팡,3,수분 크림 CS 응답은 빠른데 안내가 좀 부족했어요.
RV0007,2025-09-03 14:49,신발,캔버스 스니커즈,자사 웹,5,캔버스 스니커즈 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0008,2025-09-05 15:30,뷰티,수분 크림,네이버쇼핑,4,수분 크림 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0009,2025-09-06 20:54,의류,데일리 후드집업,아마존,4,데일리 후드집업 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0010,2025-09-07 15:00,리빙,극세사 이불세트,아마존,4,극세사 이불세트 이 가격에 이 정도면 가성비 최고예요.
RV0011,2025-09-07 21:34,리빙,극세사 이불세트,CS 이메일,2,극세사 이불세트 세일가로 산 사람들보다 비싸게 사서 속상해요.
RV0012,2025-09-08 20:05,가전,미니 가습기,CS 이메일,1,미니 가습기 주문했는데 배송이 5일이나 늦게 왔어요.
RV0013,2025-09-09 13:45,리빙,접이식 좌식테이블,아마존,3,접이식 좌식테이블 배송은 예정보다 하루 늦었지만 큰 불편은 없었어요.
RV0014,2025-09-09 19:34,의류,데일리 후드집업,쿠팡,1,데일리 후드집업 교환 문의했는데 답이 너무 늦게 왔어요.
RV0015,2025-09-10 10:30,식품,콜드브루 원두,네이버쇼핑,4,콜드브루 원두 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0016,2025-09-10 19:33,가전,무선 스틱청소기,쿠팡,4,무선 스틱청소기 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0017,2025-09-10 20:54,리빙,접이식 좌식테이블,네이버쇼핑,2,접이식 좌식테이블 가격 대비 품질이 아쉬워요.
RV0018,2025-09-13 15:37,뷰티,수분 크림,아마존,3,수분 크림 품질은 무난한데 딱히 특별하진 않아요.
RV0019,2025-09-13 18:29,뷰티,수분 크림,쿠팡,3,수분 크림 품질은 무난한데 딱히 특별하진 않아요.
RV0020,2025-09-13 21:13,리빙,접이식 좌식테이블,CS 이메일,4,접이식 좌식테이블 튼튼하게 잘 만들어진 것 같아요.
RV0021,2025-09-13 22:12,식품,콜드브루 원두,아마존,4,콜드브루 원두 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0022,2025-09-13 23:43,신발,쿠션 러닝화,자사 웹,3,쿠션 러닝화 포장은 평범했어요.
RV0023,2025-09-14 11:08,식품,견과류 선물세트,아마존,4,견과류 선물세트 이 가격에 이 정도면 가성비 최고예요.
